,Treated,Matched Controls,Test-TC,Test-TC,General Population,Random
,mean,mean,t-stat,pval,mean,mean
CC_HYPOTHYROID,0.10538116591928251,0.09058295964125561,1.38883144737444,0.16494182091193965,0.10538116591928251,0.09058295964125561
ER_BIN2,0.028026905829596414,0.03094170403587444,-0.43083051210615414,0.6666089683913095,0.028026905829596414,0.03094170403587444
MBR_GNDR,0.2219730941704036,0.2219730941704036,0.0,1.0,0.2219730941704036,0.2219730941704036
ALLOW_IP,39.93159192825112,57.50748430493274,-0.4227646864951101,0.6724839457650971,39.93159192825112,57.50748430493274
ACUTE2,0.03139013452914798,0.036771300448430494,-0.742126332029097,0.45804337600626344,0.03139013452914798,0.036771300448430494
CC_HIP_FRACTURE,0.0,0.0006726457399103139,-0.7747125227672945,0.43854378626846335,0.0,0.0006726457399103139
CC_LEUKEMIAS,0.006726457399103139,0.006726457399103139,0.0,1.0,0.006726457399103139,0.006726457399103139
CC_ADHD,0.03139013452914798,0.029596412556053813,0.28711632631199707,0.774034370877988,0.03139013452914798,0.029596412556053813
CC_ENDOMETRIAL_CANCER,0.004484304932735426,0.002017937219730942,1.3660250482946137,0.17198851882155855,0.004484304932735426,0.002017937219730942
CC_ISCHEMIC,0.08071748878923767,0.07982062780269059,0.09013040099130151,0.92818696496842,0.08071748878923767,0.07982062780269059
CC_BREAST_CANCER,0.034753363228699555,0.02219730941704036,2.2242854524052236,0.026170818338552344,0.034753363228699555,0.02219730941704036
ALLOW_ER,6.322006726457398,14.101569506726458,-1.8845020294477375,0.05955126525481351,6.322006726457398,14.101569506726458
CC_STROKE,0.0033632286995515697,0.007174887892376682,-1.2892612003903103,0.19736303202474034,0.0033632286995515697,0.007174887892376682
CC_DIABETES,0.023542600896860985,0.0,10.3678054190753,5.977743686620097e-25,0.023542600896860985,0.0
ER_C,0.44730941704035876,0.49417040358744396,-0.8318810888482449,0.40551319556496634,0.44730941704035876,0.49417040358744396
IP_BIN2,0.005605381165919282,0.007174887892376682,-0.5163548419869566,0.605627940277881,0.005605381165919282,0.007174887892376682
CC_ANXIETY_DISORDER,0.21973094170403587,0.24955156950672647,-1.8917643782650895,0.058576337658569094,0.21973094170403587,0.24955156950672647
CC_COLORECTAL_CANCER,0.0,0.002017937219730942,-1.3427455550855825,0.1794113432805276,0.0,0.002017937219730942
CC_DX_CNT,2.680493273542601,2.6582959641255606,0.2902746729710649,0.7716173633688774,2.680493273542601,2.6582959641255606
CC_VISUAL_IMPAIR,0.0,0.0006726457399103139,-0.7747125227672945,0.43854378626846335,0.0,0.0006726457399103139
CC_HEPATITIS_A,0.0,0.0,,,0.0,0.0
CC_HEPATITIS_E,0.0,0.0,,,0.0,0.0
CC_MULTIPLE_SCLEROSIS,0.007847533632286996,0.009865470852017937,-0.5662176727711097,0.5712695668462953,0.007847533632286996,0.009865470852017937
