,Coefficient,Standard Error,z-statistic,p-value
Age,0.056,0.516,0.108,0.914
Total Cost,0.013,0.042,0.321,0.748
Gender,0.741,0.219,3.381,0.001
Tobacco Use,0.288,0.331,0.869,0.385
Pressure,0.701,0.539,1.299,0.194
Obesity,0.025,0.189,0.13,0.897
Hypertension,-0.43,0.237,-1.81,0.07
Hypothyroid,0.281,0.245,1.146,0.252
Disease Count,0.764,0.727,1.05,0.294
Acute Care 2 Months,1.125,0.3,3.745,0.0
Acute Care 6 Months,0.571,0.416,1.375,0.169
Inpatient Visits 6 Months,-0.258,0.349,-0.739,0.46
Emergency Vistits 6 Months,-0.458,0.392,-1.169,0.242
Line of Bussiness,-2.311,0.382,-6.047,0.0
Treatment,0.573,0.208,2.752,0.006
