,coef,std err,t,P>|t|,[0.025,0.975]
const,1.4387,0.405,3.556,0.0,0.645,2.2319999999999998
AGE_AT_MIDMONTH,-0.0063,0.005,-1.161,0.24600000000000002,-0.017,0.004
ALLOW_AMT,2.95e-05,3.05e-05,0.9670000000000001,0.33399999999999996,-3.0299999999999998e-05,8.93e-05
MBR_GNDR,-0.3418,0.163,-2.101,0.036000000000000004,-0.6609999999999999,-0.023
CC_TOBACCO,0.5017,0.26899999999999996,1.8659999999999999,0.062,-0.026000000000000002,1.0290000000000001
CC_PRESSURE,1.6579,1.594,1.04,0.298,-1.4680000000000002,4.784
CC_OBESITY,-0.4165,0.162,-2.57,0.01,-0.7340000000000001,-0.099
CC_HYPERTENSION,-0.0683,0.159,-0.429,0.6679999999999999,-0.381,0.244
CC_HYPOTHYROID,0.0709,0.21,0.337,0.736,-0.341,0.483
CC_DX_CNT,-0.0283,0.038,-0.7490000000000001,0.45399999999999996,-0.102,0.046
ACUTE2,1.2388,0.418,2.9610000000000003,0.003,0.418,2.06
ACUTE6,-0.9161,1.1320000000000001,-0.809,0.418,-3.136,1.304
IP_BIN6,0.2381,1.028,0.23199999999999998,0.8170000000000001,-1.7790000000000001,2.255
ER_BIN6,0.3223,1.077,0.299,0.765,-1.791,2.436
LOB,-0.4273,0.317,-1.35,0.177,-1.048,0.19399999999999998
PG_1,-0.5013,0.18600000000000003,-2.702,0.006999999999999999,-0.865,-0.13699999999999998
