,coef,std err,t,P>|t|,[0.025,0.975]
const,1.0447,0.387,2.696,0.006999999999999999,0.285,1.805
AGE_AT_MIDMONTH,-0.0063,0.005,-1.1520000000000001,0.25,-0.017,0.004
ALLOW_AMT,2.888e-05,3.06e-05,0.945,0.345,-3.11e-05,8.89e-05
MBR_GNDR,-0.2818,0.166,-1.6969999999999998,0.09,-0.608,0.044000000000000004
CC_TOBACCO,0.5368,0.271,1.979,0.048,0.005,1.069
CC_PRESSURE,1.6051,1.597,1.005,0.315,-1.527,4.737
CC_OBESITY,-0.2576,0.14800000000000002,-1.745,0.081,-0.547,0.032
CC_HYPERTENSION,0.0352,0.154,0.22899999999999998,0.8190000000000001,-0.266,0.336
CC_HYPOTHYROID,0.0631,0.21100000000000002,0.299,0.765,-0.35,0.47700000000000004
CC_DX_CNT,-0.029,0.038,-0.765,0.444,-0.10300000000000001,0.045
ACUTE2,1.2295,0.419,2.9330000000000003,0.003,0.40700000000000003,2.052
ACUTE6,-0.8554,1.1340000000000001,-0.755,0.451,-3.0789999999999997,1.368
IP_BIN6,0.1646,1.03,0.16,0.873,-1.8559999999999999,2.185
ER_BIN6,0.2563,1.079,0.23800000000000002,0.812,-1.86,2.373
LOB,-0.4337,0.317,-1.367,0.172,-1.056,0.18899999999999997
PG_0,0.218,0.155,1.411,0.159,-0.085,0.521
