,coef,std err,t,P>|t|,[0.025,0.975]
const,1.3412,0.40399999999999997,3.319,0.001,0.5489999999999999,2.134
AGE_AT_MIDMONTH,-0.0064,0.005,-1.176,0.24,-0.017,0.004
ALLOW_AMT,3.035e-05,3.05e-05,0.993,0.321,-2.9600000000000005e-05,9.03e-05
MBR_GNDR,-0.3136,0.165,-1.899,0.057999999999999996,-0.638,0.01
CC_TOBACCO,0.5118,0.271,1.89,0.059000000000000004,-0.019,1.043
CC_PRESSURE,1.5937,1.595,0.9990000000000001,0.318,-1.536,4.724
CC_OBESITY,-0.3386,0.159,-2.1319999999999997,0.033,-0.65,-0.027000000000000003
CC_HYPERTENSION,0.0362,0.153,0.237,0.813,-0.264,0.336
CC_HYPOTHYROID,0.0902,0.212,0.426,0.67,-0.325,0.505
CC_DX_CNT,-0.0269,0.038,-0.711,0.47700000000000004,-0.10099999999999999,0.047
ACUTE2,1.2381,0.419,2.955,0.003,0.41600000000000004,2.06
ACUTE6,-0.867,1.133,-0.765,0.444,-3.089,1.355
IP_BIN6,0.1656,1.0290000000000001,0.161,0.872,-1.8530000000000002,2.184
ER_BIN6,0.264,1.078,0.245,0.807,-1.851,2.379
LOB,-0.4412,0.317,-1.392,0.16399999999999998,-1.063,0.18
PG_1,-0.3316,0.168,-1.972,0.049,-0.6609999999999999,-0.002
