,coef,std err,t,P>|t|,[0.025,0.975]
const,1.4295,0.405,3.5269999999999997,0.0,0.634,2.225
AGE_AT_MIDMONTH,-0.0063,0.005,-1.159,0.247,-0.017,0.004
ALLOW_AMT,3.018e-05,3.06e-05,0.988,0.324,-2.98e-05,9.01e-05
MBR_GNDR,-0.333,0.16399999999999998,-2.029,0.043,-0.655,-0.011000000000000001
CC_TOBACCO,0.5086,0.26899999999999996,1.8880000000000001,0.059000000000000004,-0.02,1.037
CC_PRESSURE,1.6473,1.594,1.033,0.302,-1.48,4.775
CC_OBESITY,-0.4253,0.16399999999999998,-2.6010000000000004,0.009000000000000001,-0.746,-0.105
CC_HYPERTENSION,-0.0614,0.16,-0.38299999999999995,0.7020000000000001,-0.376,0.253
CC_HYPOTHYROID,0.0758,0.21,0.36,0.7190000000000001,-0.337,0.489
CC_DX_CNT,-0.0271,0.038,-0.713,0.47600000000000003,-0.10099999999999999,0.047
ACUTE2,1.2407,0.419,2.965,0.003,0.42,2.062
ACUTE6,-0.9152,1.1320000000000001,-0.809,0.419,-3.136,1.305
IP_BIN6,0.2308,1.0290000000000001,0.22399999999999998,0.823,-1.787,2.249
ER_BIN6,0.3211,1.078,0.298,0.7659999999999999,-1.7930000000000001,2.435
LOB,-0.4324,0.317,-1.365,0.17300000000000001,-1.054,0.18899999999999997
PG_1,-0.4909,0.187,-2.62,0.009000000000000001,-0.858,-0.12300000000000001
PG_2,0.1229,0.301,0.408,0.6829999999999999,-0.46799999999999997,0.7140000000000001
