,G0,G1,G2
AGE_AT_MIDMONTH,0.2588349780234033,-0.10601261405663527,-0.6276662332286276
ALLOW_AMT,0.017175709234546203,-0.016682996853300595,-0.005862136665006302
MBR_GNDR,3.7621374766743023,-3.949456436967976,-0.35614243447302046
CC_TOBACCO,-3.959802749172614,-3.005159207343136,5.749555538132371
CC_PRESSURE,-0.6557296396733141,-0.060058231626404585,0.572773397885041
CC_OBESITY,2.6664741188847962,-2.6676258056139353,-0.04267397534074946
CC_HYPERTENSION,-0.275430090872308,0.13048760598232947,0.5528880599040894
CC_HYPOTHYROID,-3.202763140531923,3.2713563961717287,-0.4929806832757832
CC_DX_CNT,0.16177550562646478,-0.15340592358943853,-0.035329614208449836
ACUTE2,-0.03776117525729956,0.12307419750963657,-0.25136918417800885
ACUTE6,0.48822714245751603,-0.4978757514851906,-0.09232005150024176
IP_BIN6,0.12712497482316354,-0.6562053349406199,0.7948192611226825
ER_BIN6,-0.46310358272876767,0.49830237309169995,0.4499445475396447
LOB,-0.43380545245150015,1.0405346265997364,-0.4397257427193278
