,coef,std err,t,P>|t|,[0.025,0.975]
const,1.0659,0.387,2.752,0.006,0.306,1.8259999999999998
AGE_AT_MIDMONTH,-0.006,0.005,-1.099,0.272,-0.017,0.005
ALLOW_AMT,2.832e-05,3.06e-05,0.925,0.355,-3.17e-05,8.840000000000001e-05
MBR_GNDR,-0.2781,0.177,-1.569,0.11699999999999999,-0.626,0.07
CC_TOBACCO,0.7279,0.293,2.4819999999999998,0.013000000000000001,0.153,1.3030000000000002
CC_PRESSURE,1.5907,1.597,0.996,0.319,-1.5430000000000001,4.724
CC_OBESITY,-0.2748,0.171,-1.611,0.107,-0.609,0.06
CC_HYPERTENSION,0.0485,0.153,0.317,0.7509999999999999,-0.252,0.349
CC_HYPOTHYROID,0.0003,0.214,0.001,0.9990000000000001,-0.42,0.42
CC_DX_CNT,-0.0289,0.038,-0.7609999999999999,0.447,-0.10300000000000001,0.046
ACUTE2,1.2277,0.419,2.928,0.003,0.405,2.05
ACUTE6,-0.8952,1.135,-0.7879999999999999,0.431,-3.123,1.3319999999999999
IP_BIN6,0.1821,1.031,0.177,0.86,-1.841,2.205
ER_BIN6,0.3039,1.081,0.281,0.779,-1.817,2.425
LOB,-0.4367,0.317,-1.376,0.16899999999999998,-1.0590000000000002,0.18600000000000003
PG_0,0.1817,0.187,0.9740000000000001,0.33,-0.184,0.5479999999999999
