,coef,std err,t,P>|t|,[0.025,0.975]
const,0.9966,0.389,2.5639999999999996,0.01,0.23399999999999999,1.7590000000000001
AGE_AT_MIDMONTH,-0.0062,0.005,-1.1440000000000001,0.253,-0.017,0.004
ALLOW_AMT,2.766e-05,3.06e-05,0.905,0.366,-3.229999999999999e-05,8.759999999999999e-05
MBR_GNDR,-0.3085,0.16399999999999998,-1.8840000000000001,0.06,-0.63,0.013000000000000001
CC_TOBACCO,0.5238,0.27,1.943,0.052000000000000005,-0.005,1.053
CC_PRESSURE,1.6574,1.5959999999999999,1.0390000000000001,0.299,-1.473,4.788
CC_OBESITY,-0.2996,0.149,-2.013,0.044000000000000004,-0.5920000000000001,-0.008
CC_HYPERTENSION,-0.04,0.16,-0.25,0.8029999999999999,-0.354,0.27399999999999997
CC_HYPOTHYROID,0.0455,0.21,0.21600000000000003,0.8290000000000001,-0.36700000000000005,0.457
CC_DX_CNT,-0.0311,0.038,-0.8220000000000001,0.41100000000000003,-0.105,0.043
ACUTE2,1.228,0.419,2.932,0.003,0.406,2.05
ACUTE6,-0.8883,1.133,-0.784,0.433,-3.111,1.334
IP_BIN6,0.2192,1.03,0.213,0.831,-1.801,2.239
ER_BIN6,0.2956,1.078,0.27399999999999997,0.784,-1.82,2.411
LOB,-0.4196,0.317,-1.3230000000000002,0.18600000000000003,-1.042,0.20199999999999999
PG_0,0.3384,0.168,2.01,0.045,0.008,0.669
