,coef,std err,t,P>|t|,[0.025,0.975]
const,1.1006,0.386,2.8539999999999996,0.004,0.344,1.857
AGE_AT_MIDMONTH,-0.006,0.005,-1.101,0.271,-0.017,0.005
ALLOW_AMT,2.9600000000000005e-05,3.06e-05,0.968,0.33299999999999996,-3.04e-05,8.96e-05
MBR_GNDR,-0.1912,0.153,-1.248,0.212,-0.49200000000000005,0.109
CC_TOBACCO,0.3044,0.133,2.2840000000000003,0.023,0.043,0.5660000000000001
CC_PRESSURE,1.5804,1.597,0.99,0.32299999999999995,-1.5530000000000002,4.7139999999999995
CC_OBESITY,-0.1735,0.135,-1.284,0.19899999999999998,-0.439,0.092
CC_HYPERTENSION,0.0558,0.153,0.365,0.715,-0.244,0.35600000000000004
CC_HYPOTHYROID,0.04,0.21,0.19,0.8490000000000001,-0.37200000000000005,0.452
CC_DX_CNT,-0.0268,0.038,-0.7090000000000001,0.479,-0.10099999999999999,0.047
ACUTE2,1.2248,0.419,2.9210000000000003,0.004,0.402,2.0469999999999997
ACUTE6,-0.8373,1.1340000000000001,-0.738,0.46,-3.062,1.3869999999999998
IP_BIN6,0.136,1.03,0.132,0.895,-1.885,2.157
ER_BIN6,0.2436,1.079,0.226,0.821,-1.874,2.3609999999999998
LOB,-0.4436,0.317,-1.3980000000000001,0.162,-1.0659999999999998,0.179
PG_2,0.3044,0.133,2.2840000000000003,0.023,0.043,0.5660000000000001
