,Treated,Matched Controls,Test-TC,Test-TC,General Population,Random
,mean,mean,t-stat,pval,mean,mean
AGE_AT_MIDMONTH,53.735365853658536,53.838388988019375,-0.22043485286569156,0.8255419956994753,44.310975575543,47.606399187404776
ALLOW_AMT,833.2512195121951,744.2092786133062,0.7811925319335665,0.4347282711988333,1065.9260224550142,648.8026917216862
MBR_GNDR,0.4024390243902439,0.41065511088452716,-0.43508879371749887,0.6635177815850233,0.4427486912463599,0.43105637379380396
CC_TOBACCO,0.11951219512195121,0.10782564364007137,0.9732016443800622,0.3305027436683342,0.07420198290905214,0.0984002031488065
CC_PRESSURE,0.0024390243902439024,0.0015294417537598777,0.5771696570078468,0.5638522576600761,0.007389618623858873,0.006602336211274758
CC_OBESITY,0.4548780487804878,0.4361458067805251,0.982826888535788,0.32574279723119914,0.10884117089264574,0.22803453529710513
CC_HYPERTENSION,0.6353658536585366,0.599031353555952,1.9362988357319997,0.05289047192334989,0.2077172979918417,0.2493651599796851
CC_HYPOTHYROID,0.18536585365853658,0.14810094315574815,2.686316850963365,0.007249641526071833,0.047300292330395066,0.06348400203148806
CC_DX_CNT,3.5378048780487803,3.462401223553403,0.8676559479390265,0.38562662233107026,1.8244194071472257,2.3437023869984763
ACUTE2,0.06219512195121951,0.054804996176395615,0.7767768483006307,0.4373291908932594,0.06325782867531127,0.05154900964956831
ACUTE6,0.1524390243902439,0.14810094315574815,0.2377103141829536,0.812116055224712,0.06325782867531127,0.15337734890807517
IP_BIN6,0.046341463414634146,0.044608717817996434,0.18721977043815785,0.8514963355892229,0.020586568512481553,0.04685119349923819
ER_BIN6,0.11341463414634147,0.11139434106551109,0.12850419016128165,0.8977554330336756,0.047286264960190325,0.11617572371762316
LOB,0.947560975609756,0.9462146316594443,0.15571000929087042,0.8762682362317804,0.7557750683132929,0.7878364652107669
