,Coefficient,Standard Error,z-statistic,p-value
Age,-0.606,0.181,-3.351,0.001
Total Cost,0.053,0.012,4.358,0.0
Gender,-0.061,0.074,-0.828,0.408
Tobacco Use,0.604,0.157,3.848,0.0
Pressure,-0.285,0.513,-0.556,0.578
Obesity,-0.312,0.071,-4.425,0.0
Hypertension,-0.014,0.075,-0.189,0.85
Hypothyroid,-0.288,0.099,-2.906,0.004
Disease Count,1.758,0.302,5.823,0.0
Acute Care 2 Months,0.998,0.13,7.655,0.0
Acute Care 6 Months,0.194,0.221,0.875,0.381
Inpatient Visits 6 Months,-0.141,0.178,-0.793,0.428
Emergency Vistits 6 Months,0.273,0.207,1.315,0.189
Line of Bussiness,-0.414,0.111,-3.722,0.0
Treatment,-0.011,0.08,-0.137,0.891
