,Coefficient,Standard Error,z-statistic,p-value
Age,0.123,0.287,0.429,0.668
Total Cost,0.083,0.019,4.459,0.0
Gender,-0.857,0.507,-1.691,0.091
Tobacco Use,0.964,0.326,2.96,0.003
Pressure,2.768,1.009,2.742,0.006
Obesity,0.903,0.157,5.764,0.0
Hypertension,-0.135,0.122,-1.11,0.267
Hypothyroid,0.553,0.269,2.057,0.04
Disease Count,0.687,0.318,2.16,0.031
Acute Care 2 Months,1.602,0.259,6.185,0.0
Acute Care 6 Months,10.737,287.511,0.037,0.97
Inpatient Visits 6 Months,-11.776,287.511,-0.041,0.967
Emergency Vistits 6 Months,-10.172,287.511,-0.035,0.972
Line of Bussiness,-0.649,0.284,-2.287,0.022
Treatment,-0.298,0.135,-2.212,0.027
