,Treated,Matched Controls,Test-TC,Test-TC,General Population,Random
,mean,mean,t-stat,pval,mean,mean
AGE_AT_MIDMONTH,47.00463678516229,47.0386398763524,-0.06531236088836352,0.947928665537169,44.310975575543,47.606399187404776
ALLOW_AMT,542.8346213292117,525.2061823802164,0.29974853079503117,0.7643850337679879,1065.9260224550142,648.8026917216862
MBR_GNDR,0.0,0.0,,,0.4427486912463599,0.43105637379380396
CC_TOBACCO,0.0,0.0055641421947449764,-1.9021771470247852,0.05722197867487098,0.07420198290905214,0.0984002031488065
CC_PRESSURE,0.0,0.0003091190108191654,-0.44716749813391277,0.6547790868110585,0.007389618623858873,0.006602336211274758
CC_OBESITY,0.5131375579598145,0.504791344667697,0.38753478966182164,0.698381591507342,0.10884117089264574,0.22803453529710513
CC_HYPERTENSION,0.0,0.011128284389489953,-2.697642331401868,0.007013448989518479,0.2077172979918417,0.2493651599796851
CC_HYPOTHYROID,0.0,0.004945904173106646,-1.792832599963006,0.0730775618674673,0.047300292330395066,0.06348400203148806
CC_DX_CNT,2.0139103554868623,2.01112828438949,0.037483060574563354,0.9701017746561085,1.8244194071472257,2.3437023869984763
ACUTE2,0.012364760432766615,0.012364760432766615,0.0,1.0,0.06325782867531127,0.05154900964956831
ACUTE6,0.06800618238021638,0.06924265842349304,-0.09882326001272645,0.9212837050443632,0.06325782867531127,0.15337734890807517
IP_BIN6,0.0061823802163833074,0.0061823802163833074,0.0,1.0,0.020586568512481553,0.04685119349923819
ER_BIN6,0.06491499227202473,0.06460587326120557,0.026129981933953272,0.9791550068571349,0.047286264960190325,0.11617572371762316
LOB,0.9613601236476044,0.9613601236476044,0.0,1.0,0.7557750683132929,0.7878364652107669
