,Coefficient,Standard Error,z-statistic,p-value
Age,-0.615,0.144,-4.264,0.0
Total Cost,0.063,0.01,6.519,0.0
Gender,0.06,0.061,0.987,0.324
Tobacco Use,0.268,0.093,2.878,0.004
Pressure,-0.007,0.456,-0.016,0.987
Obesity,-0.164,0.053,-3.107,0.002
Hypertension,-0.052,0.06,-0.869,0.385
Hypothyroid,-0.179,0.089,-2.01,0.044
Disease Count,1.832,0.248,7.375,0.0
Acute Care 2 Months,1.105,0.102,10.869,0.0
Acute Care 6 Months,0.335,0.201,1.667,0.096
Inpatient Visits 6 Months,-0.25,0.167,-1.491,0.136
Emergency Vistits 6 Months,0.149,0.19,0.784,0.433
Line of Bussiness,-0.448,0.091,-4.918,0.0
TrxG0,0.356,0.141,2.53,0.011
TrxG2,0.164,0.244,0.674,0.5
Treatment,-0.355,0.119,-2.995,0.003
