,Coefficient,Standard Error,z-statistic,p-value
Age,-0.612,0.144,-4.243,0.0
Total Cost,0.063,0.01,6.54,0.0
Gender,0.085,0.06,1.419,0.156
Tobacco Use,0.265,0.093,2.847,0.004
Pressure,-0.006,0.456,-0.014,0.989
Obesity,-0.14,0.052,-2.701,0.007
Hypertension,-0.055,0.06,-0.916,0.359
Hypothyroid,-0.161,0.089,-1.807,0.071
Disease Count,1.843,0.248,7.422,0.0
Acute Care 2 Months,1.104,0.102,10.856,0.0
Acute Care 6 Months,0.342,0.201,1.703,0.089
Inpatient Visits 6 Months,-0.252,0.167,-1.504,0.133
Emergency Vistits 6 Months,0.142,0.19,0.75,0.454
Line of Bussiness,-0.452,0.091,-4.951,0.0
TrxG2,-0.067,0.224,-0.297,0.766
Treatment,-0.122,0.068,-1.789,0.074
