,Treated,Matched Controls,Test-TC,Test-TC,General Population,Random
,mean,mean,t-stat,pval,mean,mean
CC_HIP_FRACTURE,0.0,0.0007211538461538462,-0.7747208829480616,0.43854131546491393,0.0,0.0007211538461538462
CC_TRAUMATIC_BRAIN,0.004807692307692308,0.0016826923076923078,1.7550439909575728,0.07931314505473468,0.004807692307692308,0.0016826923076923078
AGE_AT_MIDMONTH,51.0625,51.13581730769231,-0.15310220526753474,0.8783238672831319,51.0625,51.13581730769231
CC_TOBACCO,0.0,0.016826923076923076,-3.772784625509499,0.0001633067620288498,0.0,0.016826923076923076
CC_DEPRESSION,0.24879807692307693,0.2528846153846154,-0.24772794644475257,0.8043551001365893,0.24879807692307693,0.2528846153846154
CC_ALZHEIMER_PLUS,0.003605769230769231,0.006730769230769231,-1.0473477212069733,0.2949899606251535,0.003605769230769231,0.006730769230769231
CC_FIBROMYALGIA,0.12379807692307693,0.13798076923076924,-1.0906472410735593,0.275480794941606,0.12379807692307693,0.13798076923076924
ACUTE6,0.11177884615384616,0.11081730769230769,0.06511083007799807,0.9480883657623697,0.11177884615384616,0.11081730769230769
CC_BREAST_CANCER,0.03245192307692308,0.019471153846153846,2.3501714546894434,0.01880350183552878,0.03245192307692308,0.019471153846153846
CC_HEPATITIS_B_ACUTE,0.001201923076923077,0.0009615384615384616,0.20006094969385954,0.8414410659006089,0.001201923076923077,0.0009615384615384616
CC_HYPERTENSION,0.35336538461538464,0.3454326923076923,0.43879700617228873,0.660827627206592,0.35336538461538464,0.3454326923076923
CC_HYPERLIPIDEMIA,0.28125,0.2915865384615385,-0.5998007381186418,0.5486662754677314,0.28125,0.2915865384615385
ER_BIN6,0.08653846153846154,0.08509615384615385,0.11085669876990209,0.9117344415338717,0.08653846153846154,0.08509615384615385
IP_BIN2,0.013221153846153846,0.00985576923076923,0.8726926119646855,0.38287263601084454,0.013221153846153846,0.00985576923076923
CC_DEPRESSIVE_DISORDERS,0.004807692307692308,0.0021634615384615386,1.36614380870945,0.17195539198012547,0.004807692307692308,0.0021634615384615386
IP_C,0.18629807692307693,0.196875,-0.4743852586819293,0.6352459609712527,0.18629807692307693,0.196875
CC_CHRONIC_KIDNEY,0.051682692307692304,0.03894230769230769,1.6906622095039916,0.09096378867770405,0.051682692307692304,0.03894230769230769
CC_ATRIAL_FIB,0.030048076923076924,0.025961538461538463,0.6680890356952146,0.5041076594105763,0.030048076923076924,0.025961538461538463
