,Coefficient,Standard Error,z-statistic,p-value
Age,-0.738,0.217,-3.396,0.001
Total Cost,0.043,0.015,2.91,0.004
Gender,0.167,0.089,1.871,0.061
Tobacco Use,0.552,0.184,2.994,0.003
Pressure,-0.163,0.516,-0.316,0.752
Obesity,-0.562,0.084,-6.679,0.0
Hypertension,-0.101,0.087,-1.161,0.246
Hypothyroid,-0.306,0.128,-2.398,0.016
Disease Count,1.847,0.346,5.332,0.0
Acute Care 2 Months,0.863,0.152,5.676,0.0
Acute Care 6 Months,0.204,0.246,0.828,0.408
Inpatient Visits 6 Months,-0.161,0.196,-0.82,0.412
Emergency Vistits 6 Months,0.345,0.231,1.491,0.136
Line of Bussiness,-0.284,0.126,-2.254,0.024
Treatment,0.062,0.093,0.666,0.505
