,Coefficient,Standard Error,z-statistic,p-value
Age,-0.461,0.193,-2.388,0.017
Total Cost,0.081,0.013,6.283,0.0
Gender,0.014,0.081,0.166,0.868
Tobacco Use,0.023,0.116,0.201,0.841
Pressure,1.562,1.003,1.558,0.119
Obesity,0.117,0.083,1.407,0.159
Hypertension,-0.035,0.083,-0.419,0.675
Hypothyroid,-0.217,0.13,-1.673,0.094
Disease Count,1.726,0.345,5.001,0.0
Acute Care 2 Months,1.25,0.134,9.291,0.0
Acute Care 6 Months,0.688,0.405,1.701,0.089
Inpatient Visits 6 Months,-0.4,0.366,-1.094,0.274
Emergency Vistits 6 Months,-0.171,0.389,-0.441,0.659
Line of Bussiness,-0.593,0.136,-4.374,0.0
Treatment,-0.273,0.092,-2.955,0.003
