,Treated,Treated,Treated,Matched Controls,Matched Controls,Matched Controls,Test-TC,Test-TC,General Population,General Population,General Population,Test-TG,Test-TG,Random,Random,Random,Test-TR,Test-TR
,mean,std,count,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval,mean,std,count,t-stat,pval
AGE_AT_MIDMONTH,54.17015341701534,11.8529892325683,717,54.266666666666666,11.892715482496799,3585,-0.19847972763090083,0.8426791272239774,54.17015341701534,11.8529892325683,717,0.0,1.0,54.266666666666666,11.892715482496799,3585,-0.19847972763090083,0.8426791272239774
ALLOW_AMT,852.8117154811715,2798.5127074425272,717,739.4044630404463,3075.584002485005,3585,0.914522256824381,0.36049376583650017,852.8117154811715,2798.5127074425272,717,0.0,1.0,739.4044630404463,3075.584002485005,3585,0.914522256824381,0.36049376583650017
MBR_GNDR,0.403068340306834,0.49085669274148963,717,0.403068340306834,0.4905827007063307,3585,0.0,1.0,0.403068340306834,0.49085669274148963,717,0.0,1.0,0.403068340306834,0.4905827007063307,3585,0.0,1.0
CC_TOBACCO,0.11297071129707113,0.31677797501376725,717,0.09651324965132496,0.2953350169139799,3585,1.3453733864749229,0.17857562613381786,0.11297071129707113,0.31677797501376725,717,0.0,1.0,0.09651324965132496,0.2953350169139799,3585,1.3453733864749229,0.17857562613381786
CC_PRESSURE,0.002789400278940028,0.05277787859032021,717,0.0011157601115760112,0.03338901257284736,3585,1.0961080785260195,0.27309286377702024,0.002789400278940028,0.05277787859032021,717,0.0,1.0,0.0011157601115760112,0.03338901257284736,3585,1.0961080785260195,0.27309286377702024
CC_OBESITY,0.48535564853556484,0.5001343874003946,717,0.47447698744769873,0.49941780958989124,3585,0.5323246375858299,0.5945286747748065,0.48535564853556484,0.5001343874003946,717,0.0,1.0,0.47447698744769873,0.49941780958989124,3585,0.5323246375858299,0.5945286747748065
CC_HYPERTENSION,0.6513249651324965,0.4768835651948667,717,0.6167364016736402,0.48624948812736485,3585,1.7443201981382583,0.0811747215394926,0.6513249651324965,0.4768835651948667,717,0.0,1.0,0.6167364016736402,0.48624948812736485,3585,1.7443201981382583,0.0811747215394926
CC_HYPOTHYROID,0.19246861924686193,0.3945142875816436,717,0.15620641562064155,0.36310156645114433,3585,2.4052733258988193,0.016202356794003215,0.19246861924686193,0.3945142875816436,717,0.0,1.0,0.15620641562064155,0.36310156645114433,3585,2.4052733258988193,0.016202356794003215
CC_DX_CNT,3.695955369595537,2.345123988863917,717,3.6437935843793583,2.2248171829521803,3585,0.5678682649891272,0.5701540707926873,3.695955369595537,2.345123988863917,717,0.0,1.0,3.6437935843793583,2.2248171829521803,3585,0.5678682649891272,0.5701540707926873
ACUTE2,0.0599721059972106,0.2546253668296394,717,0.049930264993026496,0.23389085863227613,3585,1.033654177984244,0.30135599107711847,0.0599721059972106,0.2546253668296394,717,0.0,1.0,0.049930264993026496,0.23389085863227613,3585,1.033654177984244,0.30135599107711847
ACUTE6,0.14365411436541142,0.45801921451662725,717,0.1417015341701534,0.44696884024752953,3585,0.10634036532779284,0.9153172667342308,0.14365411436541142,0.45801921451662725,717,0.0,1.0,0.1417015341701534,0.44696884024752953,3585,0.10634036532779284,0.9153172667342308
IP_BIN6,0.040446304044630406,0.2108345255942439,717,0.040446304044630406,0.21071683955348383,3585,0.0,1.0,0.040446304044630406,0.2108345255942439,717,0.0,1.0,0.040446304044630406,0.21071683955348383,3585,0.0,1.0
ER_BIN6,0.1087866108786611,0.40855831205058196,717,0.10683403068340307,0.39319070476653406,3585,0.12059017421516692,0.9040212859647316,0.1087866108786611,0.40855831205058196,717,0.0,1.0,0.10683403068340307,0.39319070476653406,3585,0.12059017421516692,0.9040212859647316
LOB,0.9525801952580195,0.21268346217344855,717,0.9525801952580195,0.2125647440720001,3585,0.0,1.0,0.9525801952580195,0.21268346217344855,717,0.0,1.0,0.9525801952580195,0.2125647440720001,3585,0.0,1.0
Acute6-bin,0.11297071129707113,0.31677797501376725,717,0.11297071129707113,0.31660115223972546,3585,0.0,1.0,0.11297071129707113,0.31677797501376725,717,0.0,1.0,0.11297071129707113,0.31660115223972546,3585,0.0,1.0
