,Coefficient,Standard Error,z-statistic,p-value
Age,-0.502,0.171,-2.93,0.003
Total Cost,0.056,0.011,4.854,0.0
Gender,0.001,0.066,0.013,0.99
Tobacco Use,0.626,0.147,4.25,0.0
Pressure,-0.087,0.461,-0.188,0.851
Obesity,-0.17,0.063,-2.698,0.007
Hypertension,-0.11,0.067,-1.644,0.1
Hypothyroid,-0.182,0.094,-1.946,0.052
Disease Count,1.702,0.285,5.972,0.0
Acute Care 2 Months,1.092,0.124,8.804,0.0
Acute Care 6 Months,0.143,0.22,0.649,0.516
Inpatient Visits 6 Months,-0.164,0.177,-0.924,0.355
Emergency Vistits 6 Months,0.311,0.206,1.506,0.132
Line of Bussiness,-0.468,0.107,-4.373,0.0
Treatment,-0.013,0.074,-0.176,0.86
