,Coefficient,Standard Error,z-statistic,p-value
Age,-0.675,0.306,-2.21,0.027
Total Cost,0.07,0.024,2.961,0.003
Gender,-0.987,0.507,-1.944,0.052
Tobacco Use,0.832,0.299,2.786,0.005
Pressure,0.253,0.749,0.337,0.736
Obesity,0.1,0.123,0.815,0.415
Hypertension,-0.818,0.131,-6.221,0.0
Hypothyroid,1.17,0.25,4.672,0.0
Disease Count,1.02,0.519,1.966,0.049
Acute Care 2 Months,1.158,0.225,5.142,0.0
Acute Care 6 Months,0.564,0.496,1.138,0.255
Inpatient Visits 6 Months,-0.818,0.436,-1.874,0.061
Emergency Vistits 6 Months,0.074,0.486,0.153,0.879
Line of Bussiness,-0.161,0.263,-0.61,0.542
Treatment,0.214,0.142,1.502,0.133
