,Coefficient,Standard Error,z-statistic,p-value
Age,-0.7,0.188,-3.723,0.0
Total Cost,0.047,0.013,3.665,0.0
Gender,-0.07,0.075,-0.934,0.35
Tobacco Use,0.593,0.157,3.774,0.0
Pressure,-0.312,0.513,-0.608,0.543
Obesity,-0.318,0.072,-4.397,0.0
Hypertension,-0.037,0.076,-0.496,0.62
Hypothyroid,-0.308,0.1,-3.072,0.002
Disease Count,1.9,0.307,6.196,0.0
Acute Care 2 Months,0.94,0.133,7.055,0.0
Acute Care 6 Months,0.214,0.222,0.96,0.337
Inpatient Visits 6 Months,-0.14,0.179,-0.781,0.435
Emergency Vistits 6 Months,0.268,0.209,1.283,0.199
Line of Bussiness,-0.382,0.113,-3.386,0.001
Treatment,0.014,0.082,0.173,0.863
