,Coefficient,Standard Error,z-statistic,p-value
Age,0.179,0.264,0.678,0.498
Total Cost,0.086,0.017,5.077,0.0
Gender,-0.904,0.507,-1.785,0.074
Tobacco Use,1.05,0.322,3.258,0.001
Pressure,2.663,1.008,2.642,0.008
Obesity,0.365,0.116,3.137,0.002
Hypertension,0.003,0.118,0.029,0.977
Hypothyroid,0.452,0.253,1.785,0.074
Disease Count,0.456,0.308,1.478,0.139
Acute Care 2 Months,1.718,0.239,7.188,0.0
Acute Care 6 Months,10.643,259.767,0.041,0.967
Inpatient Visits 6 Months,-11.62,259.766,-0.045,0.964
Emergency Vistits 6 Months,-10.135,259.767,-0.039,0.969
Line of Bussiness,-0.665,0.264,-2.524,0.012
Treatment,-0.303,0.126,-2.403,0.016
