,Coefficient,Standard Error,z-statistic,p-value
Age,-3.563,0.975,-3.656,0.0
Total Cost,0.019,0.07,0.272,0.786
Gender,1.569,0.441,3.56,0.0
Tobacco Use,0.771,0.412,1.869,0.062
Pressure,-0.001,0.562,-0.003,0.998
Obesity,-0.067,0.296,-0.225,0.822
Hypertension,-0.293,0.395,-0.742,0.458
Hypothyroid,0.393,0.43,0.914,0.361
Disease Count,-0.549,1.024,-0.536,0.592
Acute Care 2 Months,1.088,0.305,3.571,0.0
Acute Care 6 Months,0.028,0.498,0.056,0.956
Inpatient Visits 6 Months,0.166,0.385,0.432,0.666
Emergency Vistits 6 Months,0.294,0.481,0.611,0.541
Line of Bussiness,0.869,0.572,1.519,0.129
Treatment,0.274,0.387,0.707,0.48
