,Coefficient,Standard Error,z-statistic,p-value
Age,1.244,0.542,2.295,0.022
Total Cost,-0.026,0.057,-0.46,0.646
Gender,0.247,0.263,0.94,0.347
Tobacco Use,-0.303,0.608,-0.498,0.618
Pressure,-14.911,2228.805,-0.007,0.995
Obesity,0.09,0.258,0.351,0.726
Hypertension,-0.434,0.309,-1.405,0.16
Hypothyroid,0.339,0.305,1.109,0.267
Disease Count,0.395,0.74,0.534,0.593
Acute Care 2 Months,1.556,0.533,2.918,0.004
Acute Care 6 Months,1.083,0.959,1.129,0.259
Inpatient Visits 6 Months,-1.087,0.885,-1.228,0.22
Emergency Vistits 6 Months,-0.993,0.936,-1.061,0.289
Line of Bussiness,-2.755,0.491,-5.606,0.0
Treatment,0.562,0.264,2.126,0.033
