,Coefficient,Standard Error,z-statistic,p-value
Age,-0.676,0.214,-3.156,0.002
Total Cost,0.044,0.015,3.01,0.003
Gender,-0.09,0.097,-0.923,0.356
Tobacco Use,0.777,0.212,3.666,0.0
Pressure,-0.191,0.607,-0.315,0.753
Obesity,-0.295,0.09,-3.263,0.001
Hypertension,0.125,0.111,1.118,0.264
Hypothyroid,0.388,0.23,1.686,0.092
Disease Count,2.027,0.373,5.438,0.0
Acute Care 2 Months,1.078,0.176,6.137,0.0
Acute Care 6 Months,-0.089,0.343,-0.26,0.794
Inpatient Visits 6 Months,0.092,0.29,0.319,0.749
Emergency Vistits 6 Months,0.591,0.309,1.917,0.055
Line of Bussiness,-0.183,0.137,-1.336,0.182
Treatment,-0.101,0.099,-1.026,0.305
