,Treated,Matched Controls,Test-TC,Test-TC,General Population,Random
,mean,mean,t-stat,pval,mean,mean
AGE_AT_MIDMONTH,50.08139534883721,50.14302325581395,-0.10158496867145289,0.9190926934613746,50.08139534883721,50.14302325581395
ALLOW_AMT,462.72286821705427,424.8236434108527,0.5834443024390885,0.559636767392772,462.72286821705427,424.8236434108527
MBR_GNDR,0.02131782945736434,0.02131782945736434,0.0,1.0,0.02131782945736434,0.02131782945736434
CC_TOBACCO,0.0,0.005813953488372093,-1.7365467289740095,0.08256674278417715,0.0,0.005813953488372093
CC_PRESSURE,0.0,0.0,,,0.0,0.0
CC_OBESITY,0.12596899224806202,0.13953488372093023,-0.8172570183469465,0.41384448952184183,0.12596899224806202,0.13953488372093023
CC_HYPERTENSION,0.26356589147286824,0.2496124031007752,0.666334398564165,0.5052470632177726,0.26356589147286824,0.2496124031007752
CC_HYPOTHYROID,0.0,0.004651162790697674,-1.552307096186922,0.12069103689311092,0.0,0.004651162790697674
CC_DX_CNT,1.7383720930232558,1.743798449612403,-0.06828552679828964,0.9455627576153034,1.7383720930232558,1.743798449612403
ACUTE2,0.015503875968992248,0.015116279069767442,0.06182728335639756,0.9507043695285787,0.015503875968992248,0.015116279069767442
ACUTE6,0.06395348837209303,0.06472868217054263,-0.056428531235083554,0.9550040721166485,0.06395348837209303,0.06472868217054263
IP_BIN6,0.003875968992248062,0.003875968992248062,0.0,1.0,0.003875968992248062,0.003875968992248062
ER_BIN6,0.06201550387596899,0.06201550387596899,0.0,1.0,0.06201550387596899,0.06201550387596899
LOB,0.9903100775193798,0.9903100775193798,0.0,1.0,0.9903100775193798,0.9903100775193798
Acute6-bin,0.05426356589147287,0.05426356589147287,0.0,1.0,0.05426356589147287,0.05426356589147287
